Concat_Subtype_Element_Type,Weightings,Varient_Commment
Residential Building_Roller Shutters,6,NULL
Residential Building_Roller Shutters,9,If element is critical foraccess/egress/security
Residential Building_Roof,8,NULL
Residential Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Residential Building_Security Camera,1,NULL
Residential Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Residential Building_Sewage Treatment System,NULL,NULL
Residential Building_Solar Panel,NULL,NULL
Residential Building_Substructure,8,NULL
Residential Building_Substructure,9,if function /performance of theasset beingcompromised.
Residential Building_Transformer,NULL,NULL
Residential Building_Treads and Risers,3,NULL
Residential Building_Treads and Risers,7,if required foroperational access.
Residential Building_Uninterruptible Power Supply,NULL,NULL
Residential Building_Ventilation System,NULL,NULL
Residential Building_Waste Disposal System,NULL,NULL
Residential Building_Water Supply Plumbing System,9,NULL
Residential Building_Wind Turbine,NULL,NULL
Salt Marsh_Salt Marsh Edge,5,NULL
Salt Marsh_Vegetation Cover,5,NULL
Salt Marsh_Vegetation Cover,9,If vegetation cover iscritical to the functionof the asset e.g. Saltmarsh or Dunes.
Sample or Survey Point_Access Strip,9,NULL
Sample or Survey Point_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Sample or Survey Point_Datum Plates and Markers,4,NULL
Sample or Survey Point_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Sample or Survey Point_Treads and Risers,3,NULL
Sample or Survey Point_Treads and Risers,7,If required foroperational access.
Sand Bagging Equipment_Common Controls,NULL,NULL
Sand Bagging Equipment_Electrical System,NULL,NULL
Sand Bagging Equipment_Frame,7,NULL
Sand Bagging Equipment_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Sand Bagging Equipment_Gearbox,NULL,NULL
Sand Bagging Equipment_Motor,NULL,NULL
Sand Bagging Equipment_Pressure System,NULL,NULL
Sand Trap_Chamber,6,NULL
Sand Trap_Chamber,9,If element is critical foroperation.
Sand Trap_Cover or Hatch,1,NULL
Sand Trap_Fastenings,7,NULL
Sand Trap_Fastenings,1,If item secured and itdoes not directlycontribute towards theperformance of theassets.
Sand Trap_Fixings,3,NULL
Sand Trap_Floor,8,NULL
Sand Trap_Floor,9,If affected area can't beisolated and preventsthe operation of theasset as a whole.
Sand Trap_Foundation,9,NULL
Sand Trap_Inlet,9,NULL
Sand Trap_Internal Walls,4,NULL
Sand Trap_Internal Walls,9,If load bearing or criticalfor security.
Sand Trap_Ladder,3,NULL
Sand Trap_Ladder,1,If element doesn'tcontribute to primaryfunction of the asset.
Sand Trap_Outlet,9,NULL
Sand Trap_Padlock or Lock,6,NULL
Sand Trap_Padlock or Lock,9,If critical to theoperation of the asset.
Sand Trap_Struts and Bracing,7,NULL
Sand Trap_Treads and Risers,3,NULL
Sand Trap_Treads and Risers,7,If required foroperational access.
Security Screen_Central Support Structure,9,NULL
Security Screen_Davit,NULL,NULL
Security Screen_Frame,7,NULL
Security Screen_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Security Screen_Gantry,1,NULL
Security Screen_Gantry,5,If failure wouldcompromise operation.
Security Screen_Ladder,3,NULL
Security Screen_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Security Screen_Left Bank Wall,6,NULL
Security Screen_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Security Screen_Right Bank Wall,6,NULL
Security Screen_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Security Screen_Screen,8,NULL
Security Screen_Screen,9,If screen is for publicsafety.
Security Screen_Silt Trap,1,NULL
Security Screen_Silt Trap,5,"If watercourse is steep,upland and/or carriesheavy sediment load."
Security Screen_Treads and Risers,3,NULL
Security Screen_Treads and Risers,7,if required foroperational access.
Security Screen_Winch,NULL,NULL
Shelter_Access Point,9,NULL
Shelter_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Shelter_Access Strip,9,NULL
Shelter_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Shelter_Beams,8,NULL
Shelter_Beams,9,If element deemed tobe load bearing
Shelter_Cable and Pipe Management,3,NULL
Shelter_Ceiling,4,NULL
Shelter_Climate Control,NULL,NULL
Shelter_Deck,7,NULL
Shelter_Deck,9,If Deck is over water.
Shelter_Distribution Board,NULL,NULL
Shelter_Distribution Network Operator Feeder,NULL,NULL
Shelter_Doors and Windows,6,NULL
Shelter_Doors and Windows,9,If element is critical foraccess/egress/security
Shelter_Drainage System,5,NULL
Shelter_Drainage System,9,if failure could not bemitigated and would
Shelter_Electrical System,NULL,NULL
Shelter_Electricity Meter,NULL,NULL
Shelter_Electricity Sub Meter,NULL,NULL
Shelter_Equipment Mounting Board,3,NULL
Shelter_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Shelter_External Features,4,NULL
Shelter_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Shelter_External Walls,6,NULL
Shelter_External Walls,9,If element deemed tobe load bearing orrequired for security
Shelter_Fastenings,7,NULL
Shelter_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Shelter_Fire Protection,1,NULL
Shelter_Fixings,3,NULL
Shelter_Floor,8,NULL
Shelter_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Shelter_Foundation,9,NULL
Shelter_Frame,8,NULL
Shelter_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Shelter_Gas System,NULL,NULL
Shelter_Grassed Elements,1,NULL
Shelter_Habitat Enhancement,1,NULL
Shelter_Heating System,NULL,NULL
Shelter_Incomer,NULL,NULL
Shelter_Internal Features,1,NULL
Shelter_Internal Walls,4,NULL
Shelter_Internal Walls,9,If load bearing or criticalfor security.
Shelter_Kerbs,1,NULL
Shelter_Lighting,NULL,NULL
Shelter_Maintenance Hole,3,NULL
Shelter_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Shelter_Mooring Point,6,NULL
Shelter_Mooring Point,9,If element is asingle/only mooringpoint or critical for
Shelter_Padlock or Lock,6,NULL
Shelter_Padlock or Lock,9,if critical to theoperation of the asset
Shelter_Planted Elements,1,NULL
Shelter_Pontoon,1,NULL
Shelter_Post,5,NULL
Shelter_Post,7,If element is critical forasset function
Shelter_Roof,8,NULL
Shelter_Roof,9,If element is critical forsecurity or building is ofmajor significance
Shelter_Security Camera,1,NULL
Shelter_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Shelter_Sewage Treatment System,NULL,NULL
Shelter_Solar Panel,NULL,NULL
Shelter_Substructure,8,NULL
Shelter_Substructure,9,if function /performance of theasset beingcompromised.
Shelter_Transformer,NULL,NULL
Shelter_Treads and Risers,3,NULL
Shelter_Treads and Risers,7,if required foroperational access.
Shelter_Uninterruptible Power Supply,NULL,NULL
Shelter_Ventilation System,NULL,NULL
Shelter_Waste Disposal System,NULL,NULL
Shelter_Water Point,NULL,NULL
Shelter_Water Supply Plumbing System,5,NULL
Shelter_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Shelter_Wind Turbine,NULL,NULL
Signal_Civils,4,NULL
Signal_Daymark,9,NULL
Signal_Electrical System,NULL,NULL
Signal_Equipment Housing,4,NULL
Signal_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Signal_Fastenings,7,NULL
Signal_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Signal_Foghorn,NULL,NULL
Signal_Navigation Light,3,NULL
Signal_Positional Indicator,NULL,NULL
Signal_Post,7,NULL
Signal_Post,9,If element is critical forasset function
Signal_Solar Panel,NULL,NULL
Signal_Surge Arrester,NULL,NULL
Signal_TopMark,3,NULL
Signal_Wind Turbine,NULL,NULL
Simple Culvert_Apron,5,NULL
Simple Culvert_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Simple Culvert_Channel Bed,7,NULL
Simple Culvert_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Simple Culvert_Culvert Barrel,7,NULL
Simple Culvert_Culvert Barrel,9,"If construction materialis unknown, or heavyloading above theCulvert."
Simple Culvert_Downstream Headwall,8,NULL
Simple Culvert_Downstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport anembankment orinfrastructure above."
Simple Culvert_Maintenance Hole,3,NULL
Simple Culvert_Maintenance Hole,9,if element collapse /blockage directly impactthe performance of theasset.
Simple Culvert_Soffit,7,NULL
Simple Culvert_Soffit,9,"If construction materialis unknown, or heavyloading above theculvert."
Simple Culvert_Upstream Headwall,8,NULL
Simple Culvert_Upstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport anembankment orinfrastructure above."
Slipway_Apron,5,NULL
Slipway_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Slipway_Bearing Piling,6,NULL
Slipway_Bearing Piling,9,If element is requiredfor structural integrity.
Slipway_Bollard,3,NULL
Slipway_Bollard,6,If element plays a safetycritical role
Slipway_Navigation Light,3,NULL
Slipway_Piling,6,NULL
Slipway_Piling,9,If element is requiredfor structural integrity.
Slipway_Retaining Wall,6,NULL
Slipway_Retaining Wall,9,if failure prevents theoperation of the asset
Slipway_Slope,6,NULL
Slipway_Slope,9,If element critical tooverall asset function.
Slipway_Treads and Risers,3,NULL
Slipway_Treads and Risers,7,if required foroperational access.
Slipway_Wheel Stop,3,NULL
Slipway_Wheel Stop,6,If element categorisedas Critical to overallasset function
Slipway_Winch,NULL,NULL
Soil Moisture Tube_Access Point,9,NULL
Soil Moisture Tube_Access Point,3,If an alternate accessfor regular maintenanceis available.
Soil Moisture Tube_Access Strip,6,NULL
Soil Moisture Tube_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Soil Moisture Tube_Animal Grid,2,NULL
Soil Moisture Tube_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Soil Moisture Tube_Borehole Cap,3,NULL
Soil Moisture Tube_Borehole Cap,9,If element is critical tothe protection ofgroundwater
Soil Moisture Tube_Cable Management,4,NULL
Soil Moisture Tube_Cable Management,7,If pipes carry control orpower cables
Soil Moisture Tube_Casing,5,NULL
Soil Moisture Tube_Casing,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Soil Moisture Tube_Chamber,5,NULL
Soil Moisture Tube_Chamber,7,If element is critical foroperation.
Soil Moisture Tube_Climate Control,NULL,NULL
Soil Moisture Tube_Common Controls,NULL,NULL
Soil Moisture Tube_Cover or Door,1,NULL
Soil Moisture Tube_Datum Plates and Markers,4,NULL
Soil Moisture Tube_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Soil Moisture Tube_Distribution Board,NULL,NULL
Soil Moisture Tube_Distribution Network Operator Feeder,NULL,NULL
Soil Moisture Tube_Electrical System,NULL,NULL
Soil Moisture Tube_Electricity Sub Meter,NULL,NULL
Soil Moisture Tube_Equipment Housing,4,NULL
Soil Moisture Tube_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Soil Moisture Tube_Expansion Joint,5,NULL
Soil Moisture Tube_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Soil Moisture Tube_External Walls,6,NULL
Soil Moisture Tube_External Walls,9,If element deemed tobe load bearing orrequired for security
Soil Moisture Tube_Fastenings,7,NULL
Soil Moisture Tube_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Soil Moisture Tube_Fixings,3,NULL
Soil Moisture Tube_Floor,8,NULL
Soil Moisture Tube_Floor,9,if affected area can't beisolated and prevents
Soil Moisture Tube_Foundation,9,NULL
Soil Moisture Tube_Frame,7,NULL
Soil Moisture Tube_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Soil Moisture Tube_Grassed Elements,1,NULL
Soil Moisture Tube_Incomer,NULL,NULL
Soil Moisture Tube_Ladder,3,NULL
Soil Moisture Tube_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Soil Moisture Tube_Lifting Chains and Sprockets,NULL,NULL
Soil Moisture Tube_Lighting,NULL,NULL
Soil Moisture Tube_Maintenance Hole,3,NULL
Soil Moisture Tube_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Soil Moisture Tube_Measurement Scale,7,NULL
Soil Moisture Tube_Measurement Scale,9,If sole means ofmeasuring a value.
Soil Moisture Tube_Padlock or Lock,6,NULL
Soil Moisture Tube_Padlock or Lock,9,if critical to theoperation of the asset
Soil Moisture Tube_Pipe,6,NULL
Soil Moisture Tube_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Soil Moisture Tube_Pipe Flange,6,NULL
Soil Moisture Tube_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Soil Moisture Tube_Pipe Sleeve,3,NULL
Soil Moisture Tube_Pipe T Piece,6,NULL
Soil Moisture Tube_Pipe T Piece,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Soil Moisture Tube_Pipe Valve,6,NULL
Soil Moisture Tube_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Soil Moisture Tube_Pipework,6,NULL
Soil Moisture Tube_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Soil Moisture Tube_Planted Elements,1,NULL
Soil Moisture Tube_Relay Control,NULL,NULL
Soil Moisture Tube_Seals,5,NULL
Soil Moisture Tube_Seals,7,If element is critical forasset function
Soil Moisture Tube_Shaft,7,NULL
Soil Moisture Tube_Solar Panel,NULL,NULL
Soil Moisture Tube_Substructure,8,NULL
Soil Moisture Tube_Substructure,9,if function /performance of theasset beingcompromised.
Soil Moisture Tube_Transformer,NULL,NULL
Soil Moisture Tube_Treads and Risers,3,NULL
Soil Moisture Tube_Treads and Risers,7,if required foroperational access.
Soil Moisture Tube_Vertical Extended Spindle,NULL,NULL
Soil Moisture Tube_Wind Turbine,NULL,NULL
Solar Farm_Access Point,6,NULL
Solar Farm_Access Point,3,If an alternate accessfor regular maintenanceis available.
Solar Farm_Access Strip,6,NULL
Solar Farm_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Solar Farm_Cable and Pipe Management,4,NULL
Solar Farm_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe asset.
Solar Farm_Common Controls,NULL,NULL
Solar Farm_Distribution Board,NULL,NULL
Solar Farm_Distribution Network Operator Feeder,NULL,NULL
Solar Farm_Electrical System,NULL,NULL
Solar Farm_Electricity Meter,NULL,NULL
Solar Farm_Electricity Sub Meter,NULL,NULL
Solar Farm_Foundation,9,NULL
Solar Farm_Frame,7,NULL
Solar Farm_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Solar Farm_Incomer,NULL,NULL
Solar Farm_Solar Panel,NULL,NULL
Solar Farm_Surge Arrester,NULL,NULL
Solar Farm_Transformer,NULL,NULL
Spillway_Crest,9,NULL
Spillway_Downstream Face,9,NULL
Spillway_Funnel,9,NULL
Spillway_Pipe,6,NULL
Spillway_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Spillway_Upstream Face,9,NULL
Steps_Balustrade,4,NULL
Steps_Balustrade,7,If element required forsafe operation.
Steps_Fastenings,7,NULL
Steps_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Steps_Handrail,4,NULL
Steps_Handrail,7,If element required forsafe operation.
Steps_Treads and Risers,7,NULL
Steps_Treads and Risers,9,if required foroperational access.
Stilling Basin_Chamber,4,NULL
Stilling Basin_Outlet,7,NULL
Stilling Basin_Outlet,9,If element categorisedas Critical to overallasset function
Stilling Basin_Treads and Risers,3,NULL
Stilling Basin_Treads and Risers,7,if required foroperational access.
Stilling Well_Antenna,NULL,NULL
Stilling Well_Cable and Pipe Management,4,NULL
Stilling Well_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Stilling Well_Chamber,6,NULL
Stilling Well_Chamber,9,If element is critical foroperation.
Stilling Well_Cover or Hatch,1,NULL
Stilling Well_Drainage System,5,NULL
Stilling Well_Drainage System,9,if failure could not bemitigated and wouldcause a H&S / pollutionincident.
Stilling Well_Expansion Joint,5,NULL
Stilling Well_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Stilling Well_Fastenings,7,NULL
Stilling Well_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Stilling Well_Fixings,3,NULL
Stilling Well_Floor,8,NULL
Stilling Well_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Stilling Well_Foundation,9,NULL
Stilling Well_Frame,8,NULL
Stilling Well_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Stilling Well_Inlet,9,NULL
Stilling Well_Internal Features,1,NULL
Stilling Well_Ladder,3,NULL
Stilling Well_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Stilling Well_Lifting Chains and Sprockets,NULL,NULL
Stilling Well_Lifting Ropes and Drums,NULL,NULL
Stilling Well_Measurement Scale,7,NULL
Stilling Well_Measurement Scale,9,If sole means ofmeasuring a value.
Stilling Well_Outlet,9,NULL
Stilling Well_Padlock or Lock,6,NULL
Stilling Well_Padlock or Lock,9,if critical to theoperation of the asset
Stilling Well_Pipe,6,NULL
Stilling Well_Pipe,9,If fully functionality ofthe assets is dependentsolely on the pipe beingassessed.
Stilling Well_Pipe Valve,6,NULL
Stilling Well_Pipe Valve,9,if on a pipe that iscritical to the asset
Stilling Well_Pump Out Point,5,NULL
Stilling Well_Seals,5,NULL
Stilling Well_Seals,7,If element is critical forasset function
Stilling Well_Struts and Bracing,7,NULL
Stilling Well_Substructure,8,NULL
Stilling Well_Substructure,9,if function /performance of theasset beingcompromised.
Stilling Well_Treads and Risers,3,NULL
Stilling Well_Treads and Risers,7,if required foroperational access.
Storage Location_Ceiling,4,NULL
Storage Location_Holding,9,NULL
Storage Location_Treads and Risers,3,NULL
Storage Location_Treads and Risers,7,if required foroperational access.
Surface Water Tank_Access Point,6,NULL
Surface Water Tank_Access Point,3,If an alternate accessfor regular maintenanceis available.
Surface Water Tank_Access Strip,6,NULL
Surface Water Tank_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Surface Water Tank_Balustrade,4,NULL
Surface Water Tank_Balustrade,7,If element required forsafe operation.
Surface Water Tank_Beams,8,NULL
Surface Water Tank_Beams,9,If element deemed tobe load bearing
Surface Water Tank_Bund,9,NULL
Surface Water Tank_Camera,7,NULL
Surface Water Tank_Camera,5,if able to monitor assetby alternative means.
Surface Water Tank_Chamber,4,NULL
Surface Water Tank_Chamber,9,If element is critical foroperation.
Surface Water Tank_Cover or Hatch,1,NULL
Surface Water Tank_Display,NULL,NULL
Surface Water Tank_Equipment Housing,4,NULL
Surface Water Tank_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Surface Water Tank_Foundation,9,NULL
Surface Water Tank_Frame,7,NULL
Surface Water Tank_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Surface Water Tank_Handrail,4,NULL
Surface Water Tank_Handrail,7,If element required forsafe operation.
Surface Water Tank_Inlet,9,NULL
Surface Water Tank_Ladder,3,NULL
Surface Water Tank_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Surface Water Tank_Measurement Scale,7,NULL
Surface Water Tank_Measurement Scale,9,If sole means ofmeasuring a value.
Surface Water Tank_Outlet,9,NULL
Surface Water Tank_Padlock or Lock,6,NULL
Surface Water Tank_Padlock or Lock,9,if critical to theoperation of the asset
Surface Water Tank_Pipe,6,NULL
Surface Water Tank_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Surface Water Tank_Pipe Flange,6,NULL
Surface Water Tank_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Surface Water Tank_Pipe Sleeve,3,NULL
Surface Water Tank_Pipe T Piece,6,NULL
Surface Water Tank_Pipe T Piece,9,if on a pipe that iscritical to the asset
Surface Water Tank_Pipe Valve,6,NULL
Surface Water Tank_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Surface Water Tank_Sensor,7,NULL
Surface Water Tank_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Surface Water Tank_Substructure,8,NULL
Surface Water Tank_Substructure,9,if function /performance of theasset beingcompromised.
Surface Water Tank_Treads and Risers,3,NULL
Surface Water Tank_Treads and Risers,7,if required foroperational access.
Telecommunications_Cable Management,4,NULL
Telecommunications_Cable Management,7,If pipes carry control orpower cables
Telecommunications_Equipment Mounting Board,3,NULL
Telecommunications_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Telecommunications_Fixings,6,NULL
Telecommunications_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Telecommunications_Master Socket,NULL,NULL
Telecommunications_Padlock or Lock,6,NULL
Telecommunications_Padlock or Lock,9,if critical to theoperation of the asset
Telemetry System_Antenna,NULL,NULL
Telemetry System_Battery,NULL,NULL
Telemetry System_Battery Charger,NULL,NULL
Telemetry System_Cable and Pipe Management,4,NULL
Telemetry System_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe telemetry system
Telemetry System_Charge Controller,NULL,NULL
Telemetry System_Civils,4,NULL
Telemetry System_Climate Control,NULL,NULL
Telemetry System_Common Controls,NULL,NULL
Telemetry System_Control Equipment,NULL,NULL
Telemetry System_Data Card,NULL,NULL
Telemetry System_Data Logger,NULL,NULL
Telemetry System_Datum Plates and Markers,2,NULL
Telemetry System_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Telemetry System_Distribution Board,NULL,NULL
Telemetry System_Distribution Network Operator Feeder,NULL,NULL
Telemetry System_Electrical System,NULL,NULL
Telemetry System_Electricity Meter,NULL,NULL
Telemetry System_Electricity Sub Meter,NULL,NULL
Telemetry System_Equipment Housing,4,NULL
Telemetry System_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Telemetry System_Equipment Mounting Board,3,NULL
Telemetry System_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Telemetry System_Fastenings,7,NULL
Telemetry System_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Telemetry System_Fixings,6,NULL
Telemetry System_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Telemetry System_Foundation,9,NULL
Telemetry System_Incomer,NULL,NULL
Telemetry System_Ladder,3,NULL
Telemetry System_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Telemetry System_Lighting,NULL,NULL
Telemetry System_Measurement Scale,7,NULL
Telemetry System_Measurement Scale,9,If sole means ofmeasuring a value.
Telemetry System_Modem,NULL,NULL
Telemetry System_Network,NULL,NULL
Telemetry System_Outstation,NULL,NULL
Telemetry System_Padlock or Lock,6,NULL
Telemetry System_Padlock or Lock,9,if critical to theoperation of the asset
Telemetry System_Pipe,6,NULL
Telemetry System_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Telemetry System_Post,8,NULL
Telemetry System_Post,9,If element is critical forasset function
Telemetry System_Programmable Logic Computers,NULL,NULL
Telemetry System_Relay Control,NULL,NULL
Telemetry System_Router,NULL,NULL
Telemetry System_Security Camera,1,NULL
Telemetry System_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Telemetry System_Solar Panel,NULL,NULL
Telemetry System_Stilling Tube,9,NULL
Telemetry System_Surge Arrester,NULL,NULL
Telemetry System_Transformer,NULL,NULL
Telemetry System_Treads and Risers,3,NULL
Telemetry System_Treads and Risers,7,if required foroperational access.
Telemetry System_Uninterruptible Power Supply,NULL,NULL
Telemetry System_Wind Turbine,NULL,NULL
Utility Services Crossing_Abutment,7,NULL
Utility Services Crossing_Abutment,9,If no revetment (Faceprotection) present
Utility Services Crossing_Channel Bed,7,NULL
Utility Services Crossing_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Utility Services Crossing_Pillar,8,NULL
Utility Services Crossing_Pillar,9,If element is critical tostructural integrity ofthe asset.
Utility Services Crossing_Span,9,NULL
Vehicle Access Road_Access Point,9,NULL
Vehicle Access Road_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Vehicle Access Road_Access Strip,9,NULL
Vehicle Access Road_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Vehicle Access Road_Bollard,3,NULL
Vehicle Access Road_Bollard,6,If element plays a safetycritical role
Vehicle Access Road_Datum Plates and Markers,2,NULL
Vehicle Access Road_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Vehicle Access Road_Drainage Ditch,5,NULL
Vehicle Access Road_Drainage System,5,NULL
Vehicle Access Road_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Vehicle Access Road_Foundation,9,NULL
Vehicle Access Road_Grassed Elements,3,NULL
Vehicle Access Road_Grassed Elements,5,If element forms a keycomponent of the finalsurface.
Vehicle Access Road_Kerbs,4,NULL
Vehicle Access Road_Lighting,NULL,NULL
Vehicle Access Road_Planted Elements,3,NULL
Vehicle Access Road_Planted Elements,5,If element forms a keycomponent of the finalsurface.
Vehicle Access Road_Road,3,NULL
Vehicle Access Road_Road,9,If critical to thefunctioning of the assetie there is noalternative access.
Vehicle Access Road_Security Barrier,3,NULL
Vehicle Access Road_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Vehicle Access Road_Slope,6,NULL
Vehicle Access Road_Slope,9,If element critical tooverall asset function.
Vehicle Access Road_Substructure,8,NULL
Vehicle Access Road_Substructure,9,if function /performance of theasset beingcompromised.
Vehicle Access Road_Swale,2,NULL
Vehicle Access Road_Swale,5,If primary form ofdrainage for asset
Visitor Centre_Access Strip,9,NULL
Visitor Centre_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Visitor Centre_Alternator,NULL,NULL
Visitor Centre_Balustrade,4,NULL
Visitor Centre_Balustrade,7,If element required forsafe operation.
Visitor Centre_Beams,8,NULL
Visitor Centre_Beams,9,If element deemed tobe load bearing
Visitor Centre_Cable and Pipe Management,4,NULL
Visitor Centre_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building
Visitor Centre_Ceiling,4,NULL
Visitor Centre_Climate Control,NULL,NULL
Visitor Centre_Distribution Board,NULL,NULL
Visitor Centre_Distribution Network Operator Feeder,NULL,NULL
Visitor Centre_Doors and Windows,6,NULL
Visitor Centre_Doors and Windows,9,If element is critical foraccess/egress/security
Visitor Centre_Drainage System,5,NULL
Visitor Centre_Drainage System,9,if failure could not bemitigated and would
Visitor Centre_Electrical System,NULL,NULL
Visitor Centre_Electricity Meter,NULL,NULL
Visitor Centre_Electricity Sub Meter,NULL,NULL
Visitor Centre_Equipment Mounting Board,3,NULL
Visitor Centre_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Visitor Centre_External Features,4,NULL
Visitor Centre_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Visitor Centre_External Walls,8,NULL
Visitor Centre_External Walls,9,If element deemed tobe load bearing orrequired for security
Visitor Centre_Fastenings,7,NULL
Visitor Centre_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Visitor Centre_Fire Protection,1,NULL
Visitor Centre_Fixed Fall Arrest System,NULL,NULL
Visitor Centre_Fixings,3,NULL
Visitor Centre_Floor,8,NULL
